Fecha_filtro	Marea_filtro
02/05/2021 11:50:00	1.252
02/05/2021 12:00:00	1.156
02/05/2021 12:10:00	1.066
02/05/2021 12:20:00	0.982
02/05/2021 12:30:00	0.905
02/05/2021 12:40:00	0.836
02/05/2021 12:50:00	0.775
02/05/2021 13:00:00	0.722
02/05/2021 13:10:00	0.677
02/05/2021 13:20:00	0.642
02/05/2021 13:30:00	0.616
02/05/2021 13:40:00	0.599
02/05/2021 13:50:00	0.592
02/05/2021 14:00:00	0.595
02/05/2021 14:10:00	0.606
02/05/2021 14:20:00	0.628
02/05/2021 14:30:00	0.658
02/05/2021 14:40:00	0.697
02/05/2021 14:50:00	0.745
02/05/2021 15:00:00	0.802
02/05/2021 15:10:00	0.866
02/05/2021 15:20:00	0.937
02/05/2021 15:30:00	1.016
02/05/2021 15:40:00	1.1
02/05/2021 15:50:00	1.191
02/05/2021 16:00:00	1.286
02/05/2021 16:10:00	1.386
02/05/2021 16:20:00	1.489
02/05/2021 16:30:00	1.596
02/05/2021 16:40:00	1.705
02/05/2021 16:50:00	1.815
02/05/2021 17:00:00	1.926
02/05/2021 17:10:00	2.037
02/05/2021 17:20:00	2.147
02/05/2021 17:30:00	2.256
02/05/2021 17:40:00	2.362
02/05/2021 17:50:00	2.464
02/05/2021 18:00:00	2.563
02/05/2021 18:10:00	2.657
02/05/2021 18:20:00	2.746
02/05/2021 18:30:00	2.828
02/05/2021 18:40:00	2.904
02/05/2021 18:50:00	2.972
02/05/2021 19:00:00	3.033
02/05/2021 19:10:00	3.086
02/05/2021 19:20:00	3.13
02/05/2021 19:30:00	3.165
02/05/2021 19:40:00	3.191
02/05/2021 19:50:00	3.208
02/05/2021 20:00:00	3.215
02/05/2021 20:10:00	3.213
02/05/2021 20:20:00	3.201
02/05/2021 20:30:00	3.179
02/05/2021 20:40:00	3.148
02/05/2021 20:50:00	3.108
02/05/2021 21:00:00	3.059
02/05/2021 21:10:00	3.002
02/05/2021 21:20:00	2.936
02/05/2021 21:30:00	2.862
02/05/2021 21:40:00	2.781
02/05/2021 21:50:00	2.693
02/05/2021 22:00:00	2.599
02/05/2021 22:10:00	2.5
02/05/2021 22:20:00	2.397
02/05/2021 22:30:00	2.289
02/05/2021 22:40:00	2.179
02/05/2021 22:50:00	2.066
02/05/2021 23:00:00	1.952
02/05/2021 23:10:00	1.837
02/05/2021 23:20:00	1.723
02/05/2021 23:30:00	1.609
02/05/2021 23:40:00	1.498
02/05/2021 23:50:00	1.389
03/05/2021 00:00:00	1.283
03/05/2021 00:10:00	1.181
03/05/2021 00:20:00	1.084
03/05/2021 00:30:00	0.992
03/05/2021 00:40:00	0.906
03/05/2021 00:50:00	0.826
03/05/2021 01:00:00	0.753
03/05/2021 01:10:00	0.687
03/05/2021 01:20:00	0.628
03/05/2021 01:30:00	0.578
03/05/2021 01:40:00	0.536
03/05/2021 01:50:00	0.503
03/05/2021 02:00:00	0.479
03/05/2021 02:10:00	0.464
03/05/2021 02:20:00	0.458
03/05/2021 02:30:00	0.461
03/05/2021 02:40:00	0.473
03/05/2021 02:50:00	0.495
03/05/2021 03:00:00	0.525
03/05/2021 03:10:00	0.564
