"Presion","Profundidad","Temperatura","Conductividad","Conductancia","Salinidad","Vel_Sonido","Densidad","Latitud","Longitud","Fecha","Hora","Estacion","Marea","Transecto","No.Estacion"
"101",7.05,7.090516083,27.97989813,50215.39925,47390.99264,30.83591439,1537.014787,1019.305868,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"102",7.35,7.391427908,27.9590481,50331.71103,47519.46347,30.92950207,1537.071681,1019.384084,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"103",7.65,7.692324878,27.94832403,50356.6176,47552.60769,30.95359805,1537.0781,1019.406905,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"104",7.95,7.993213346,27.91488623,50369.63771,47594.95985,30.98442663,1537.040722,1019.442079,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"105",8.25,8.294089952,27.9092056,50446.48217,47672.68908,31.0410457,1537.092668,1019.487684,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"106",8.55,8.594957143,27.88440335,50440.92853,47689.79636,31.05345932,1537.055206,1019.506261,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"107",8.85,8.895818809,27.85906823,50435.8499,47707.84994,31.06656205,1537.017236,1019.525522,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"108",9.15,9.196677422,27.85598475,50432.1248,47707.10927,31.06594283,1537.014725,1019.527339,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"109",9.45,9.497535732,27.83341406,50395.43372,47692.76661,31.0554077,1536.958018,1019.527968,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"110",9.75,9.79839282,27.81560326,50380.54297,47694.75294,31.05678228,1536.924517,1019.536006,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"111",10.05,10.09925064,27.79964271,50328.74274,47660.11677,31.03144041,1536.867004,1019.523395,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"112",10.35,10.40011132,27.79347256,50304.37514,47642.60874,31.01859146,1536.844652,1019.517022,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"113",10.65,10.70097354,27.78532922,50282.09684,47628.85595,31.00848252,1536.820745,1019.513337,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"114",10.95,11.00183526,27.77757847,50281.9624,47635.72321,31.01341248,1536.813564,1019.520812,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"115",11.25,11.30269643,27.77102911,50262.77069,47623.45129,31.00438322,1536.794373,1019.517426,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"116",11.55,11.60355885,27.77159934,50252.27973,47612.99672,30.9966785,1536.792596,1019.512753,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"117",11.85,11.90442156,27.75555299,50230.64839,47606.97741,30.99221101,1536.756829,1019.515831,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"118",12.15,12.20528435,27.75400998,50219.59298,47597.89162,30.98550526,1536.751347,1019.512585,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"119",12.45,12.5061456,27.74959691,50237.58615,47618.92895,31.00076727,1536.762556,1019.526745,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"120",12.75,12.80700536,27.75067766,50229.6145,47610.39737,30.99446514,1536.763407,1019.522961,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"121",13.05,13.10786464,27.74054981,50225.74036,47615.86723,30.99837481,1536.749779,1019.53043,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"122",13.23858292,13.29698791,27.7364948,50200.03227,47595.15443,30.98321998,1536.72785,1019.521166,2.6708288,-78.3162899,"29/04/2021","16:05","S06","Alta","Sanquianga","6"
"123",0.15,0.150551364,28.11364428,49323.70313,46432.23394,30.13997254,1536.465457,1018.71111,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"124",0.45,0.451644798,28.11223347,49329.1231,46438.56968,30.1444994,1536.472128,1018.716252,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"125",0.75,0.752735902,28.10591283,49375.61096,46487.86579,30.1802431,1536.50064,1018.746382,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"126",1.05,1.05379963,28.07875822,49633.78106,46754.84386,30.3742611,1536.648988,1018.901914,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"127",1.35,1.354793741,28.02743491,50165.37613,47301.34148,30.77204506,1536.957695,1019.218101,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"128",1.65,1.655735788,28.00931266,50205.76853,47355.6117,30.81153026,1536.963793,1019.254849,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"129",1.95,1.956648759,27.99761759,50496.22184,47640.08661,31.01887478,1537.160881,1019.415474,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"130",2.25,2.257498698,27.97098971,50967.99128,48109.34396,31.36140964,1537.466967,1019.682388,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"131",2.55,2.558272339,27.93296051,51388.97404,48541.56423,31.67740332,1537.719793,1019.933117,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"132",2.85,2.85898309,27.90518129,51681.58146,48843.59169,31.89846656,1537.895647,1020.109323,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"133",3.15,3.159652216,27.89603484,51869.57281,49029.73632,32.03479168,1538.02391,1020.215921,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"134",3.45,3.460296178,27.88577024,51974.83723,49138.77305,32.11465292,1538.090193,1020.280489,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"135",3.75,3.760927503,27.87941682,52003.75926,49172.02419,32.13895551,1538.106667,1020.302077,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"136",4.05,4.061550146,27.87788798,52071.39899,49237.4043,32.18682737,1538.158766,1020.339809,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"137",4.35,4.362165134,27.87634145,52094.63261,49260.81418,32.20391774,1538.178383,1020.354433,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"138",4.65,4.662775367,27.87088823,52118.15441,49288.13961,32.22388222,1538.1923,1020.372474,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"139",4.95,4.963381248,27.86450839,52128.38151,49303.76078,32.23526051,1538.195094,1020.384367,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"140",5.25,5.263982925,27.85872244,52149.43111,49329.06879,32.25374706,1538.206708,1020.401406,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"141",5.55,5.564579709,27.85032546,52165.38109,49351.99607,32.27048768,1538.210643,1020.417976,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"142",5.85,5.865173494,27.84473514,52162.06836,49354.0825,32.27193521,1538.204728,1020.422156,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"143",6.15,6.165762953,27.82762601,52181.29451,49388.26373,32.29693453,1538.197876,1020.447736,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"144",6.45,6.466345826,27.81127716,52190.12021,49411.9088,32.3142022,1538.184559,1020.467263,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"145",6.75,6.766923881,27.79532588,52188.16912,49424.99004,32.32371621,1538.163941,1020.480837,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"146",7.05,7.067497113,27.77796435,52195.41834,49448.11626,32.3406025,1538.147925,1020.500401,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
"147",7.35,7.368062954,27.75539424,52216.20601,49488.97337,32.37050322,1538.133948,1020.531416,2.7041184,-78.3186185,"29/04/2021","  16:58:04","S05","Alta","Sanquianga","5"
